Type,Name,Baseline,Transitional/Late
Upstream,IFNG,1.562,-5.45
Upstream,interferon alpha,0.886,-4.679
Upstream,IRF7,,-3.985
Upstream,IFNB1,,-3.971
Upstream,STING1,,-3.918
Upstream,IL1B,,-3.91
Upstream,IFN beta,,-3.881
Upstream,TNF,2.186,-3.845
Upstream,CAMP,,-3.619
Upstream,IL27,,-3.552
Upstream,NFkB (complex),1.943,-3.547
Upstream,IFNA2,,-3.526
Upstream,IFN type 1,,-3.525
Upstream,IL1A,,-3.501
Upstream,TICAM1,,-3.464
Upstream,IRF3,,-3.433
Upstream,CHROMR,,-3.38
Upstream,NONO,,-3.286
Upstream,TERT,,-3.261
Upstream,IRF1,0.832,-3.201
Upstream,RIGI,,-3.174
Upstream,MAVS,,-3.166
Upstream,IFNL1,,-3.138
Upstream,LDL,,-3.13
Upstream,RIPK2,,-3.109
Upstream,IFN,,-3.072
Upstream,TLR9,,-3.034
Upstream,OSM,,-2.992
Upstream,PI3K (complex),,-2.973
Upstream,MYD88,,-2.971
Upstream,TLR4,,-2.969
Upstream,IFNA1/IFNA13,,-2.928
Upstream,IL6,,-2.908
Upstream,IL33,,-2.899
Upstream,TNF (family),,-2.854
Upstream,TLR7,,-2.849
Upstream,Ap1,,-2.776
Upstream,IFNAR1,,-2.77
Upstream,TNIK,,-2.751
Upstream,cytokine,,-2.733
Upstream,PRKCA,,-2.688
Upstream,JUN,,-2.68
Upstream,IFNAR,,-2.666
Upstream,RNY3,,-2.646
Upstream,JAK,,-2.646
Upstream,TNFSF12,,-2.644
Upstream,STAT1,,-2.635
Upstream,TLR,,-2.629
Upstream,CEBPE,,-2.618
Upstream,IL25,,-2.605
Upstream,IFNA4,,-2.566
Upstream,RELA,,-2.562
Upstream,IL21,,-2.555
Upstream,IL18,,-2.474
Upstream,PAF1,,-2.449
Upstream,IFNL4,,-2.442
Upstream,p38 MAPK,,-2.433
Upstream,ORMDL3,,-2.433
Upstream,IFNA8,,-2.429
Upstream,EHF,,-2.425
Upstream,IFNA16,,-2.414
Upstream,IFNA6,,-2.414
Upstream,IFNA10,,-2.414
Upstream,IFNA14,,-2.414
Upstream,IFNA7,,-2.414
Upstream,IFNA5,,-2.414
Upstream,IFNA21,,-2.41
Upstream,TLR3,,-2.397
Upstream,IL4,0.621,-2.394
Upstream,SLC15A4,,-2.376
Upstream,CGAS,,-2.373
Upstream,KLF6,,-2.366
Upstream,IL12 (complex),,-2.365
Upstream,PML,,-2.345
Upstream,Mrgpra2a (includes others),,-2.333
Upstream,CSF,,-2.333
Upstream,FOXC1,,-2.333
Upstream,ZBTB10,,-2.309
Upstream,BTK,,-2.296
Upstream,CHUK,,-2.287
Upstream,MAPK14,,-2.282
Upstream,IL2,,-2.259
Upstream,PLAU,,-2.243
Upstream,SMARCA4,,-2.236
Upstream,MFGE8,,-2.219
Upstream,IL15,,-2.216
Upstream,EBI3,,-2.207
Upstream,PARP9,,-2.19
Upstream,IFIH1,,-2.185
Upstream,AHR,,-2.169
Upstream,IgE,,-2.161
Upstream,TSH,,-2.159
Upstream,CXCR3,,-2.156
Upstream,AGT,,-2.152
Upstream,TGM2,,-2.147
Upstream,BHLHE40,,-2.141
Upstream,IKBKG,,-2.138
Upstream,LIF,,-2.131
Upstream,PFKFB3,,-2.12
Upstream,TYK2,,-2.09
Upstream,CD40LG,1.948,-2.033
Upstream,S100A9,,-2.002
Upstream,SMARCB1,,-2
Upstream,Hbb-b2,,-2
Upstream,POU4F2,,-2
Upstream,DNM1L,,-1.995
Upstream,PIK3CA,,-1.982
Upstream,YTHDC2,,-1.982
Upstream,ECSIT,,-1.982
Upstream,IC,,-1.982
Upstream,pro-inflammatory cytokine,,-1.982
Upstream,Ifnl2/Ifnl3,,-1.981
Upstream,EBF1,,-1.98
Upstream,TPH1,,-1.98
Upstream,STAT1 Dimer,,-1.976
Upstream,SELPLG,,-1.976
Upstream,STAT4,,-1.976
Upstream,CCL5,,-1.976
Upstream,CCL20,,-1.97
Upstream,CTSK,,-1.96
Upstream,IL31,,-1.958
Upstream,SPI1,,-1.956
Upstream,PLAAT4,,-1.956
Upstream,APP,,-1.953
Upstream,NFKBIZ,,-1.952
Upstream,NFIL3,,-1.941
Upstream,DOCK8,,-1.941
Upstream,MUC1,,-1.937
Upstream,IKBKB,,-1.936
Upstream,IL12B,,-1.933
Upstream,IL23,,-1.932
Upstream,CX3CL1,,-1.919
Upstream,PF4,,-1.908
Upstream,TP53,-0.693,-1.9
Upstream,IL17A,,-1.899
Upstream,UBE2M,,-1.89
Upstream,IFN alpha/beta,,-1.883
Upstream,CD36,,-1.876
Upstream,IFN gamma,,-1.873
Upstream,IRAK1,,-1.864
Upstream,IL1,,-1.844
Upstream,NOS2,,-1.841
Upstream,TP63,,-1.839
Upstream,CYBB,,-1.829
Upstream,NFKB1,,-1.829
Upstream,C1QA,,-1.821
Upstream,LDLR,,-1.812
Upstream,IRF6,,-1.809
Upstream,PKA,,-1.806
Upstream,mir-24 (includes others),,-1.801
Upstream,mir-15 (includes others),,-1.797
Upstream,IL22,,-1.783
Upstream,TNFSF13B,,-1.782
Upstream,CREB,,-1.771
Upstream,NFkB (family),,-1.746
Upstream,CEBPA,,-1.736
Upstream,TRADD,,-1.72
Upstream,CCR1,,-1.715
Upstream,STAT2,,-1.714
Upstream,IL12 (family),,-1.708
Upstream,MAP3K14,,-1.706
Upstream,CG,,-1.701
Upstream,CD38,,-1.698
Upstream,PTGS2,,-1.684
Upstream,PRL,,-1.677
Upstream,FADD,,-1.671
Upstream,HDAC6,,-1.671
Upstream,CSF3,,-1.668
Upstream,IL17RA,,-1.664
Upstream,IL4R,,-1.664
Upstream,ANGPT2,,-1.65
Upstream,MAP3K7,,-1.645
Upstream,TGFB1,0.77,-1.64
Upstream,SAA1,,-1.634
Upstream,CD14,,-1.63
Upstream,SAA,,-1.63
Upstream,EDN1,,-1.617
Upstream,TBK1,,-1.594
Upstream,JAK1,,-1.577
Upstream,S100A8,,-1.555
Upstream,Immunoglobulin,0.446,-1.554
Upstream,ZBP1,,-1.536
Upstream,mir-181 (includes others),,-1.533
Upstream,RICTOR,,-1.532
Upstream,EGR2,,-1.532
Upstream,GNAQ,,-1.518
Upstream,RAF1,,-1.516
Upstream,TWIST1,,-1.508
Upstream,EGF,,-1.495
Upstream,IL12A,,-1.487
Upstream,IRF5,,-1.486
Upstream,ITGAM,,-1.48
Upstream,NfkB-RelA,,-1.48
Upstream,MET,,-1.459
Upstream,ATF2,,-1.447
Upstream,mir-10 (includes others),,-1.446
Upstream,ATF4,,-1.446
Upstream,STAT5A/B,,-1.441
Upstream,F2,,-1.434
Upstream,HSPD1,,-1.434
Upstream,Lymphotoxin,,-1.432
Upstream,ACE2,,-1.432
Upstream,KLF7,,-1.432
Upstream,C5,,-1.427
Upstream,CD86,,-1.42
Upstream,PTGER3,,-1.414
Upstream,MAPK9,,-1.407
Upstream,TAC1,,-1.406
Upstream,HMGB1,,-1.405
Upstream,SUPT20H,,-1.4
Upstream,KEAP1,,-1.4
Upstream,STAT3,1.894,-1.395
Upstream,FAS,,-1.392
Upstream,IKK (complex),,-1.387
Upstream,RNASE1,,-1.387
Upstream,MAPK8,,-1.385
Upstream,MAPKAPK2,,-1.385
Upstream,NFKBIA,,-1.383
Upstream,IRF9,,-1.378
Upstream,CNTF,,-1.377
Upstream,FN1,,-1.373
Upstream,IL18R1,,-1.342
Upstream,CSF1R,,-1.342
Upstream,MAPK3,,-1.342
Upstream,CD80,,-1.325
Upstream,CD3 (family),,-1.312
Upstream,TRAF3IP2,,-1.311
Upstream,SGPL1,,-1.308
Upstream,IFI16,,-1.301
Upstream,IL1R,,-1.3
Upstream,IL23A,,-1.3
Upstream,F2RL1,,-1.28
Upstream,PLAUR,,-1.276
Upstream,HIF1A,,-1.275
Upstream,TRAF2,,-1.274
Upstream,CD40,,-1.265
Upstream,CDKN2A,,-1.262
Upstream,HAVCR2,,-1.256
Upstream,C5AR1,,-1.256
Upstream,MAP2K1,,-1.253
Upstream,FcER1,,-1.253
Upstream,CSF1,,-1.247
Upstream,TASL,,-1.226
Upstream,CSF2,,-1.219
Upstream,ID3,,-1.213
Upstream,ADAM17,,-1.205
Upstream,IGF1,,-1.204
Upstream,IFNL3,,-1.199
Upstream,ORAI1,,-1.195
Upstream,CD81,,-1.193
Upstream,BIRC3,,-1.192
Upstream,OLR1,,-1.165
Upstream,REL,,-1.165
Upstream,FOSL1,,-1.165
Upstream,IL24,,-1.165
Upstream,AKT,,-1.16
Upstream,NCOA2,,-1.158
Upstream,CFB,,-1.154
Upstream,PTPN22,,-1.154
Upstream,TNFRSF18,,-1.154
Upstream,CDKN1B,,-1.15
Upstream,KLRK1,,-1.15
Upstream,SRC (family),,-1.136
Upstream,CD200R1,,-1.134
Upstream,PDGF (complex),,-1.131
Upstream,PI3,,-1.131
Upstream,UNC93B1,,-1.129
Upstream,RETN,,-1.124
Upstream,MAP2K1/2,,-1.114
Upstream,GLI1,,-1.114
Upstream,SLC29A1,,-1.109
Upstream,SELP,,-1.109
Upstream,SRC,,-1.109
Upstream,TLR2,,-1.103
Upstream,LTA,,-1.103
Upstream,IL7,,-1.103
Upstream,PHB1,,-1.095
Upstream,SOCS2,,-1.091
Upstream,KLK5,,-1.091
Upstream,PDGF-BB,,-1.09
Upstream,FSH,,-1.076
Upstream,FOS,,-1.075
Upstream,USP22,,-1.069
Upstream,RBP4,,-1.068
Upstream,CLEC4G,,-1.067
Upstream,TIFA,,-1.067
Upstream,TRPV4,,-1.067
Upstream,PDLIM2,,-1.067
Upstream,NOTCH,,-1.067
Upstream,Fibrinogen,,-1.067
Upstream,IL5,,-1.065
Upstream,PLAT,,-1.053
Upstream,VEGFA,,-1.053
Upstream,TRAF6,,-1.047
Upstream,DDIT3,,-1.047
Upstream,EIF2AK2,,-1.032
Upstream,PI3K (family),,-1.018
Upstream,PIK3CG,,-1.016
Upstream,SMAD3,,-1.006
Upstream,CXCL12,,-1.005
Upstream,Hbb-b1,,-1
Upstream,MSC,,-1
Upstream,CCL4,,-1
Upstream,NFAT (complex),,-1
Upstream,TNFRSF8,,-1
Upstream,SASH1,,-1
Upstream,NF2,,-1
Upstream,PPIF,,-1
Upstream,UBR5,,-1
Upstream,AQP3,,-1
Upstream,ADORA2B,,-1
Upstream,TBX21,,-0.996
Upstream,EZH2,,-0.995
Upstream,TCR (complex),,-0.994
Upstream,NLRP3,,-0.972
Upstream,IL36A,,-0.97
Upstream,TNFSF11,,-0.967
Upstream,PLG,,-0.966
Upstream,PRKCD,,-0.966
Upstream,TNFSF14,,-0.958
Upstream,IL2RA,,-0.958
Upstream,DPP4,,-0.957
Upstream,RIPK3,,-0.957
Upstream,TICAM2,,-0.956
Upstream,FHL2,,-0.95
Upstream,NOD2,,-0.948
Upstream,CD28,,-0.941
Upstream,LEP,,-0.938
Upstream,NFATC2,,-0.937
Upstream,IL9,,-0.925
Upstream,NFAT (family),,-0.923
Upstream,RAC1,,-0.923
Upstream,CXCL8,,-0.922
Upstream,TREM2,,-0.917
Upstream,MTOR,,-0.914
Upstream,LEPR,,-0.896
Upstream,CD5,,-0.896
