Name,Nickname
Differentiation of B lymphocytes,B-cell differentiation
Neutrophil degranulation,Neutrophil degranulation
Activation of neutrophils,Neutrophil activation
Activation of macrophages,Macrophage activation
Inflammatory response,Inflammatory response
Interferon gamma signaling,Inteferon γ signaling
Pathogen Induced Cytokine Storm Signaling Pathway,Pathogen-induced cytokine storm
Macrophage Classical Activation Signaling Pathway,Macrophage classical activation
Necrosis,Necrosis
Apoptosis,Apoptosis
Activation of B lymphocytes,B-cell activation
Apoptosis of T lymphocytes,T-cell apoptosis
Damage of kidney,Kidney damage
Interferon alpha/beta signaling,Interferon α & β signaling
Apoptosis of dendritic cells,DC apoptosis
IL-8 Signaling,IL-8 signaling
NFkB (complex),NFkB complex
IL6,IL-6
Immunoglobulin,Immunoglobulin
CCR2,CCR2/MCP-1
NR1H,NR1H
ZEB2,ZEB2
