Type,Name,Middle,Transitional,Recovered
Upstream,ETV3,-4.583,-3.873,-3.606
Upstream,ETV6,-4.333,-3.576,-3.434
Upstream,IRGM,-4.988,-3.953,-3.297
Upstream,BANF1,-5.163,-3.797,-3.244
Upstream,TREX1,-4.199,-3.088,-3.233
Upstream,ZNF750,-3.722,-3.223,-3.217
Upstream,RC3H1,-4.347,-3.162,-3.162
Upstream,UBAP1,-4.231,-3.148,-2.985
Upstream,STAG2,-4.1,-2.828,-2.983
Upstream,SOCS1,-4.303,-3.35,-2.848
Upstream,F3,-4.142,-3.814,-2.764
Upstream,SOCS3,-3.19,-2.396,-2.613
Upstream,miR-145-5p (and other miRNAs w/seed UCCAGUU),-2.944,-2.395,-2.592
Upstream,SP110,-2.4,-1.941,-2.53
Upstream,PCK1,-3.459,-2.668,-2.478
Upstream,USP18,-4.029,-2.945,-2.449
Upstream,HOTAIR,-1.102,-1.993,-2.442
Upstream,RNASEH2B,-4.219,-2.557,-2.382
Upstream,NFKBIA,1.153,0.095,-2.334
Upstream,IL33,2.851,-1.388,-2.33
Upstream,Cdkn2a,1.326,,-2.236
Upstream,PELI2,-1.869,-2.228,-2.228
Upstream,Irgm1,-3.907,-2.418,-2.204
Upstream,FCER1G,-0.993,-2.201,-2.201
Upstream,TTC39A-AS1,-3.557,-2.598,-2.185
Upstream,IL1RN,-3.329,-2.499,-2.174
Upstream,IL25,-0.493,,-2.173
Upstream,TREM1,0.129,-2.593,-2.133
Upstream,RPSA,-3.121,-2.132,-2.132
Upstream,ISG15,-2.439,-2.227,-2.111
Upstream,PGR,-2.024,-2.791,-2.107
Upstream,IL6,2.888,-2.441,-2.053
Upstream,TLR2,0.869,-1.016,-2.023
Upstream,ACKR2,-3.148,-2.4,-2
Upstream,FBXO44,-2.333,-2,-2
Upstream,NGLY1,-2,-2,-2
Upstream,LDB1,0,-2,-2
Upstream,MFGE8,1.195,-2,-2
Upstream,IL17RA,1.673,-1.342,-2
Upstream,MIF,-0.645,-1.59,-1.987
Upstream,SERPINE1,0.495,-1.982,-1.982
Upstream,IL4,0.52,-2.429,-1.962
Upstream,ICOS,-0.963,,-1.96
Upstream,SREBF1,0.447,-1.103,-1.951
Upstream,AREG,-1.255,-2.147,-1.948
Upstream,ADAR,-2.258,-2.396,-1.941
Upstream,EGR2,1.307,-1.01,-1.941
Upstream,CCL2,0.739,-1.134,-1.937
Upstream,MAPK8,-0.198,-0.185,-1.925
Upstream,CSF3,3.098,-1.568,-1.86
Upstream,NFE2L2,-1.762,-2.236,-1.85
Upstream,CXCL8,0.018,-0.648,-1.804
Upstream,IMMT,-1.976,-1.539,-1.765
Upstream,RELA,2.078,-2.409,-1.756
Upstream,CEBPA,2.504,-2.307,-1.748
Upstream,USP8,-4.416,-2.621,-1.744
Upstream,TET2,-0.632,-0.816,-1.728
Upstream,PKC,-1.73,-0.919,-1.724
Upstream,USP22,0.39,-2.2,-1.72
Upstream,estrogen receptor,1.026,-1.732,-1.715
Upstream,KDR,-0.447,0,-1.715
Upstream,TCR (complex),-1.332,-1.985,-1.69
Upstream,MMP9,-0.639,-1.698,-1.686
Upstream,LMO2,0.218,-1.342,-1.671
Upstream,IL21,1.879,0.998,-1.668
Upstream,ESR2,-3.524,-2.359,-1.664
Upstream,PI3K (complex),0.646,-1.928,-1.625
Upstream,TAP1,-1.29,-1.315,-1.608
Upstream,STAT3,1.065,-1.571,-1.605
Upstream,STAT6,-2.342,-2.401,-1.553
Upstream,TGFA,-0.884,-2.217,-1.532
Upstream,IGF2BP1,-1.151,0,-1.528
Upstream,PIN1,-0.389,,-1.517
Upstream,Scd1,-2.739,-1.067,-1.491
Upstream,LIF,1.646,-1.097,-1.457
Upstream,ITGB1,0.782,-1.945,-1.446
Upstream,PDGF-BB,-0.086,-1.989,-1.439
Upstream,IRF6,1.483,-0.651,-1.432
Upstream,TCF7,-0.547,-0.557,-1.432
Upstream,IgE,1.814,0.302,-1.431
Upstream,MAPK1,-3.472,-3.632,-1.422
Upstream,CD276,-2.554,-1.63,-1.411
Upstream,PPP2CA,-2.417,-1.066,-1.408
Upstream,IL1,1.838,-1.912,-1.404
Upstream,CAV1,-1.461,-1.964,-1.4
Upstream,GATA3,-1.2,-1.353,-1.398
Upstream,JUN,1.538,-1.676,-1.366
Upstream,LINC00624,-2.961,-2.206,-1.354
Upstream,GAPDH,-2.029,-2.2,-1.342
Upstream,MDM4,-1.342,-2,-1.342
Upstream,IL12 (family),0.461,-1.37,-1.342
Upstream,OSM,3.427,-0.215,-1.32
Upstream,HSP90 (family),0.231,,-1.318
Upstream,ARID1A,-1.283,0.547,-1.304
Upstream,IRF2,-1.316,-0.894,-1.293
Upstream,IRF4,-1.521,-1.012,-1.292
Upstream,NOS2,1.62,-0.986,-1.276
Upstream,CEBPD,1.162,-1.763,-1.274
Upstream,CSF2,1.872,-1.735,-1.272
Upstream,ITK,0.145,-0.896,-1.264
Upstream,MYB,-2.042,-2.042,-1.262
Upstream,CAMP,1.94,-0.449,-1.251
Upstream,IL17A,1.983,-2.224,-1.243
Upstream,PNPLA2,-1.373,,-1.238
Upstream,REL,-0.581,-0.761,-1.236
Upstream,PRKCE,-1.011,-1.924,-1.23
Upstream,NFAT (family),-0.077,0.025,-1.225
Upstream,SREBF2,-3.244,-2.414,-1.219
Upstream,EBI3,1.033,1.056,-1.213
Upstream,PTGER4,-2.398,-1.436,-1.2
Upstream,MTOR,-0.503,-1.756,-1.195
Upstream,HSP27,-0.371,-1.044,-1.188
Upstream,IKBKG,2.276,0.179,-1.188
Upstream,TSC2,-2.574,,-1.188
Upstream,FN1,0.838,0.386,-1.187
Upstream,TRAF2,0.462,,-1.183
Upstream,CALCA,-0.762,,-1.177
