"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"SKI",7.95688696607503,1.64808928796344,0.0375463296861619,0.0001431523581455,"Baseline",TRUE,"4' FIU"
"C4B",5.53564919481507,0.626302846450136,0.0375463296861619,0.000231526931711595,"Baseline",FALSE,"Neither"
"TOLLIP",6.61931303374352,1.00637244561298,0.0375463296861619,0.000272690163451027,"Baseline",TRUE,"4' FIU"
"CCR6",6.28842554062692,-0.954534055425845,0.0375463296861619,0.000419425250954722,"Baseline",FALSE,"Neither"
"TBXA2R",5.79015294192526,0.787009861873091,0.0375463296861619,0.000494084623937285,"Baseline",FALSE,"Neither"
"EIF2AK2",6.963421876345,-0.94257857949855,0.0375463296861619,0.000561175247678999,"Baseline",FALSE,"Neither"
"NCR1",6.60996599893364,0.865082559862576,0.0375463296861619,0.000689735767631044,"Baseline",FALSE,"Neither"
"IL11RA",8.6234252350431,1.28978298442001,0.0375463296861619,0.000696315809535059,"Baseline",TRUE,"4' FIU"
"SIGIRR",9.23113498964497,1.88470833223961,0.0375463296861619,0.000778358249242317,"Baseline",TRUE,"4' FIU"
"TIRAP",7.03209372959606,0.63608648152691,0.0375463296861619,0.000815277847961048,"Baseline",FALSE,"Neither"
"SELPLG",9.23864092207691,1.07793484921794,0.0375463296861619,0.000844097294042588,"Baseline",TRUE,"4' FIU"
"TAP2",8.59340841388981,1.28051933357369,0.0375463296861619,0.000847295910992416,"Baseline",TRUE,"4' FIU"
"IFIT2",8.40059373630523,-0.947519368236414,0.0375463296861619,0.000896525562507586,"Baseline",FALSE,"Neither"
"ITGB2",9.86428605890499,1.04037974588546,0.0375463296861619,0.000908000688480758,"Baseline",TRUE,"4' FIU"
"DDX58",7.07672134084487,-0.806152811445368,0.0375463296861619,0.000991980673764442,"Baseline",FALSE,"Neither"
"MAVS",5.55421691438368,0.628256486519085,0.0375463296861619,0.00100290696991417,"Baseline",FALSE,"Neither"
"PML",7.45693563098306,1.27309201717114,0.0420325820411338,0.0012817334878262,"Baseline",TRUE,"4' FIU"
"OXER1",5.86587540398409,0.76426342745383,0.0420325820411338,0.00130965936450575,"Baseline",FALSE,"Neither"
"BCL3",8.8990578061255,1.50551317018092,0.0420325820411338,0.00133325385439322,"Baseline",TRUE,"4' FIU"
"CD40LG",7.87915386397191,-0.813890862588503,0.0433465675173489,0.00150241698737919,"Baseline",FALSE,"Neither"
"IFIT3",8.49998837360274,-1.26366551354504,0.0433465675173489,0.00151966263416415,"Baseline",TRUE,"Control"
"MAP4K2",8.25625967874395,0.767631726216411,0.0446008694902803,0.0016867340351235,"Baseline",FALSE,"Neither"
