"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"CXCL10",10.5989785780035,7.18819594889438,8.42300510723939e-18,1.17475663978234e-20,"Early",TRUE,"Up"
"OASL",9.71056237292344,4.96094603264934,5.34706913174596e-17,1.49151161276038e-19,"Early",TRUE,"Up"
"OAS2",11.6864938132534,4.37917469961099,6.30750401533326e-17,2.63912301896789e-19,"Early",TRUE,"Up"
"MX1",11.1682743759149,6.06498653139857,8.42140848530565e-17,4.6981358355959e-19,"Early",TRUE,"Up"
"DDX58",9.93056037316465,4.20241023354924,2.54663802756278e-15,1.77589820611072e-17,"Early",TRUE,"Up"
"IFIT3",12.5185202947155,5.22641855691697,2.65808673098366e-15,2.41908425186033e-17,"Early",TRUE,"Up"
"IFIH1",10.9207171508391,3.79974512514045,2.65808673098366e-15,2.59506375409841e-17,"Early",TRUE,"Up"
"GBP1",12.6814233904811,4.26261290466102,1.30955700774123e-14,1.4611514730725e-16,"Early",TRUE,"Up"
"EIF2AK2",9.40501298736318,3.49407986004572,2.5484522974444e-14,3.19889409721054e-16,"Early",TRUE,"Up"
"OAS3",10.7296705574131,4.57843113177656,3.76273611838363e-14,5.61829202986737e-16,"Early",TRUE,"Up"
"IFI44",11.5016821033463,5.72439596200658,3.76273611838363e-14,5.77267744800836e-16,"Early",TRUE,"Up"
"IFIT1",12.5906559388582,5.13469149826076,8.57108635621953e-14,1.43449144037147e-15,"Early",TRUE,"Up"
"MX2",11.2488669211118,3.99825052296656,1.61891864617033e-13,2.93527788008568e-15,"Early",TRUE,"Up"
"IFIT2",12.1833457062836,5.20247717650809,4.50294500369117e-13,8.79236123454343e-15,"Early",TRUE,"Up"
"STAT1",11.7551068473947,2.03001971150933,4.6477357892576e-13,9.72329663024602e-15,"Early",TRUE,"Up"
"STAT2",10.3272900686845,3.33524342696756,2.08961172337838e-12,4.6630108192544e-14,"Early",TRUE,"Up"
"BST2",9.7575509632845,2.0318402614145,4.65225395587469e-12,1.10304487098842e-13,"Early",TRUE,"Up"
"ISG20",10.0608410727625,2.39513604096219,7.53161828362116e-12,1.89078283270824e-13,"Early",TRUE,"Up"
"MR1",7.31771947302766,2.77669843487127,1.04704676385434e-11,2.77460090840062e-13,"Early",TRUE,"Up"
"CASP1",11.077319907992,1.98752926883832,5.444388006453e-11,1.51865774238577e-12,"Early",TRUE,"Up"
"OAS1",10.6343737194925,3.73496860440317,2.3123277048395e-10,6.77250792212405e-12,"Early",TRUE,"Up"
"IFI16",12.1683075351673,1.73856869005698,2.7639445553751e-10,8.48072248511188e-12,"Early",TRUE,"Up"
"CD274",10.8266534566149,2.69594575349173,4.92555546314455e-10,1.58002476502545e-11,"Early",TRUE,"Up"
"SOCS1",9.04613329376451,3.52668363039866,1.19596483713082e-09,4.00322958035422e-11,"Early",TRUE,"Up"
"SIGLEC1",6.92181700170237,2.86607647834767,1.39743057891465e-09,4.87249155827983e-11,"Early",TRUE,"Up"
"TNFSF13B",10.6261956946274,2.98898693829807,3.16942744996293e-09,1.14930423569088e-10,"Early",TRUE,"Up"
"SERPING1",8.00357620538612,2.79247447457965,7.62846495994488e-09,2.87264370876585e-10,"Early",TRUE,"Up"
"FAS",10.4462520096513,1.60679904615067,1.08845923363804e-08,4.25060788589472e-10,"Early",TRUE,"Up"
"PML",8.78231149236083,2.55442005330892,2.97049275233556e-08,1.20145453023335e-09,"Early",TRUE,"Up"
"IFITM1",14.1990762683538,1.37151532137359,3.82069763311675e-08,1.59861825653421e-09,"Early",TRUE,"Up"
