gene,avexpr,lfc,padj,pvalue,Comparison,Significant,Regulation
SIGLEC1,5.909501853,3.880940756,2.26E-16,3.48E-19,Middle,TRUE,Up
MR1,5.986313541,3.500118038,7.09E-15,2.19E-17,Middle,TRUE,Up
ISG20,9.087345185,2.243386162,3.63E-13,1.68E-15,Middle,TRUE,Up
IL1B,6.9427635,3.431302422,8.74E-12,5.39E-14,Middle,TRUE,Up
SOCS3,7.882317297,3.586691802,2.15E-11,1.82E-13,Middle,TRUE,Up
BST2,8.832540136,2.612101399,2.15E-11,1.99E-13,Middle,TRUE,Up
SERPING1,6.358940235,4.922817446,3.90E-11,4.21E-13,Middle,TRUE,Up
OAS2,9.967236549,5.2356348,4.16E-11,5.14E-13,Middle,TRUE,Up
OASL,8.038939913,5.345604823,5.48E-11,7.61E-13,Middle,TRUE,Up
PML,7.858495194,2.544305793,5.55E-11,8.57E-13,Middle,TRUE,Up
DDX58,8.217986395,4.505998721,6.81E-11,1.17E-12,Middle,TRUE,Up
IFI35,7.406418058,3.231018776,6.81E-11,1.26E-12,Middle,TRUE,Up
CXCL11,5.832622721,2.627024849,7.04E-11,1.41E-12,Middle,TRUE,Up
OAS1,9.032247735,5.954169002,7.89E-11,1.70E-12,Middle,TRUE,Up
FAS,9.312148423,2.502528029,1.14E-10,2.63E-12,Middle,TRUE,Up
IL27,5.483053401,1.664781825,1.32E-10,3.32E-12,Middle,TRUE,Up
PDCD1LG2,5.76137264,2.199295345,1.32E-10,3.46E-12,Middle,TRUE,Up
SOCS1,7.444861625,5.233996103,1.57E-10,4.37E-12,Middle,TRUE,Up
IFITM1,13.33470036,2.438734118,1.58E-10,4.63E-12,Middle,TRUE,Up
CD1C,7.323978322,-2.787691574,2.99E-10,9.22E-12,Middle,TRUE,Down
IL1RN,7.134523471,3.31632126,3.32E-10,1.07E-11,Middle,TRUE,Up
IFI16,11.26717661,2.193720994,5.20E-10,1.79E-11,Middle,TRUE,Up
CD53,10.56467486,1.467691578,5.20E-10,1.85E-11,Middle,TRUE,Up
EIF2AK2,8.106023193,3.269655679,5.60E-10,2.07E-11,Middle,TRUE,Up
LY96,8.168952103,2.648024985,5.94E-10,2.29E-11,Middle,TRUE,Up
MX2,9.843431403,4.059142561,6.10E-10,2.45E-11,Middle,TRUE,Up
JAK2,9.935172068,1.947561776,2.21E-09,9.19E-11,Middle,TRUE,Up
OAS3,9.06044888,5.1795789,3.56E-09,1.54E-10,Middle,TRUE,Up
IRF7,8.090676413,3.656817672,4.14E-09,1.92E-10,Middle,TRUE,Up
IRF5,7.459684605,1.929806421,4.14E-09,1.90E-10,Middle,TRUE,Up
TAP1,11.36493194,2.342660183,7.05E-09,3.37E-10,Middle,TRUE,Up
IFIT2,10.05183541,6.333382675,7.61E-09,3.76E-10,Middle,TRUE,Up
CISH,6.684652963,2.207329152,9.93E-09,5.06E-10,Middle,TRUE,Up
MX1,9.265977273,6.755497459,1.14E-08,6.18E-10,Middle,TRUE,Up
BATF,7.289642242,1.473426234,1.14E-08,5.98E-10,Middle,TRUE,Up
FCGR1A,8.588460332,3.811824407,1.23E-08,6.81E-10,Middle,TRUE,Up
CCR1,7.144173272,2.371852378,2.11E-08,1.24E-09,Middle,TRUE,Up
NFATC3,9.259127343,-1.537855698,2.07E-08,1.18E-09,Middle,TRUE,Down
PSMB8,11.027892,1.621039778,2.12E-08,1.31E-09,Middle,TRUE,Up
NFKBIA,9.409313574,1.822823751,2.12E-08,1.30E-09,Middle,TRUE,Up
IFIH1,9.187485294,4.309968484,2.37E-08,1.50E-09,Middle,TRUE,Up
TNFSF13B,9.181768062,4.154189535,2.87E-08,1.86E-09,Middle,TRUE,Up
IL18RAP,7.102275839,3.522386665,3.98E-08,2.71E-09,Middle,TRUE,Up
TNFSF10,6.684809366,2.521797127,3.85E-08,2.55E-09,Middle,TRUE,Up
STAT2,9.011691015,3.343190744,4.05E-08,2.85E-09,Middle,TRUE,Up
CASP1,9.910806852,2.507880483,4.19E-08,3.04E-09,Middle,TRUE,Up
CXCL10,7.782048357,7.422700764,4.25E-08,3.15E-09,Middle,TRUE,Up
OXER1,5.386486686,-1.429059096,4.05E-08,2.88E-09,Middle,TRUE,Down
IRF1,10.39702906,1.966398357,4.46E-08,3.41E-09,Middle,TRUE,Up
ITGAM,8.777361503,2.07582511,4.46E-08,3.44E-09,Middle,TRUE,Up
IFIT3,10.96174094,6.549140374,5.29E-08,4.41E-09,Middle,TRUE,Up
FPR2,6.727709408,3.098531899,5.03E-08,4.04E-09,Middle,TRUE,Up
CD4,5.239061803,-1.090976564,4.75E-08,3.74E-09,Middle,TRUE,Down
C4B,6.268588301,3.049696393,5.18E-08,4.23E-09,Middle,TRUE,Up
MYD88,8.541420452,1.137094838,7.23E-08,6.14E-09,Middle,TRUE,Up
MAPK1,9.829283753,-0.994226677,8.50E-08,7.35E-09,Middle,FALSE,None
IFI44,9.670131115,6.017115127,9.49E-08,8.49E-09,Middle,TRUE,Up
IFIT1,11.13838939,6.313919714,1.01E-07,9.18E-09,Middle,TRUE,Up
TCF7,6.480987538,-2.70035366,9.49E-08,8.49E-09,Middle,TRUE,Down
SELL,12.88824329,2.334301309,1.14E-07,1.06E-08,Middle,TRUE,Up
LITAF,9.794731688,1.83961667,1.51E-07,1.43E-08,Middle,TRUE,Up
PLCB1,5.573292855,-1.541755253,1.60E-07,1.53E-08,Middle,TRUE,Down
IKBKB,7.766327573,-1.036549227,1.83E-07,1.78E-08,Middle,TRUE,Down
PLAU,5.426101096,1.414740555,2.07E-07,2.04E-08,Middle,TRUE,Up
PSMB9,10.30015321,1.348308325,5.37E-07,5.52E-08,Middle,TRUE,Up
GPR183,8.606817833,-1.598510488,5.30E-07,5.31E-08,Middle,TRUE,Down
ATM,8.143869112,-2.019146773,5.37E-07,5.56E-08,Middle,TRUE,Down
MEF2A,6.433684712,-1.517919186,5.46E-07,5.73E-08,Middle,TRUE,Down
TAP2,8.554388085,1.93171238,5.49E-07,5.93E-08,Middle,TRUE,Up
CXCL1,5.521115695,1.431150328,5.49E-07,5.92E-08,Middle,TRUE,Up
IL11RA,7.675182342,-2.024431538,6.49E-07,7.21E-08,Middle,TRUE,Down
AHR,6.637919585,-2.031679619,6.94E-07,7.82E-08,Middle,TRUE,Down
C2,5.777249808,1.889927358,6.45E-07,7.06E-08,Middle,TRUE,Up
CSF1,7.063943669,1.380474296,7.23E-07,8.26E-08,Middle,TRUE,Up
