Gene,Cell Type
FOXP3,Treg
TBX21,Th1 cells
CD3D,T-cells
CD3E,T-cells
CD3G,T-cells
SH2D1A,T-cells
CD6,T-cells
NCR1,NK cells
XCL1,NK cells
KIR3DL1,NK CD56dim cells
KIR3DL2,NK CD56dim cells
IL21R,NK CD56dim cells
CEACAM3,Neutrophils
CSF3R,Neutrophils
FCAR,Neutrophils
MS4A2,Mast cells
TPSAB1,Mast cells
CD163,Monocytes
CD68,Monocytes
CD244,Exhausted CD8
EOMES,Exhausted CD8
LAG3,Exhausted CD8
PTGER4,Exhausted CD8
CCL13,DC
CCL2,DC
CD209,DC
HSD11B1,DC
KLRB1,Cytotoxic cells
KLRD1,Cytotoxic cells
KLRK1,Cytotoxic cells
GNLY,Cytotoxic cells
GZMA,Cytotoxic cells
GZMB,Cytotoxic cells
GZMH,Cytotoxic cells
PRF1,Cytotoxic cells
CD8A,CD8 T cells
CD8B,CD8 T cells
PTPRC,CD45
BLK,B-cells
CD19,B-cells
MS4A1,B-cells
TNFRSF17,B-cells
AKT3,
ATG7,
B2M,
BAD,
BCL10,
BLNK,
BTK,
BTLA,
CD160,
CD207,
CD22,
CD247,
CD274,
CD28,
CD34,
CD36,
CD4,
CD40,
CD40LG,
CD74,
CD79A,
CD79B,
CD80,
CD81,
CD86,
CD96,
CDC42,
CDKN1A,
CHUK,
CREB1,
CTLA4,
CTSC,
CTSS,
CYBB,
FCGR1A,
FCGR2B,
FYN,
GRB2,
HLA-A,
HLA-B,
HLA-C,
HLA-DMB,
HLA-DOB,
HLA-DPA1,
HLA-DPB1,
HLA-DQA1,
HLA-DQB1,
HLA-DRA,
HLA-DRB1,
HRAS,
ICAM1,
ICAM2,
ICAM3,
ICAM4,
ICOS,
ICOSLG,
IFITM1,
IKBKB,
IKBKG,
ITGA4,
ITGAL,
ITGB1,
ITGB2,
KEAP1,
KIR2DL4,
KIT,
KLRC1,
KLRF1,
KLRG1,
LAIR1,
LAIR2,
LCK,
LCP2,
LILRA1,
LILRA2,
LILRA3,
LILRA4,
LILRA5,
LILRA6,
LILRB1,
LILRB2,
LILRB3,
LILRB4,
LILRB5,
MALT1,
MAP3K7,
MRC1,
NCF4,
NFKB1,
NFKBIA,
PDCD1,
PDCD1LG2,
PDGFA,
PDGFB,
PDGFRB,
PRKCB,
