"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"ABCB1",43.01,48.94,25.82,34.45,49.61,20,29.26,20,20,20,31.08,29.48,32.96,20,26.26,36,54.59,65.58,20,20,27.65,20,23.49,30.36,24.53,20.93,41.09,20,20.61,20,27.43,22.5,20,20,20,20,20,20,20,20.93,20,20,25.98,35.3,20.43,20,20,26.43,20,20,20,20,20,27.75,37.92,24.43,20,25.68,20,20,30.56,20,39.35,49.46,21.28,34.63,35.04,20,22.56,20,24.54
"ABL1",20,24.47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,51.99,20,20.74,20,35.8,20,25.51,20,30.13,20,20,20,21.03,20.9,20,20,30.65,20,20,20,36.84,20,20,20,22.73,50.43,20,20.03,20,20,20,39.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.49
"ADA",62.55,82.3,65.1,55.57,57.69,20,42.55,51.02,48.53,50.55,63.36,55.42,63.04,59.35,41.27,68.15,65.51,62.04,66.84,57.56,73.07,123.94,106.27,114.6,94.2,191.94,67.11,35.72,45.51,36.71,51.19,37.77,26.7,20,43.19,44.94,20,51.61,45.68,70.41,74.01,77.01,147.74,94.13,111.29,75.77,60.62,66.65,81.67,59.82,63.42,20,37.9,50.45,39.73,53.39,39.38,72.76,50.07,67.3,62.11,56.88,63.77,60.77,56.76,34.63,55.07,54.93,71.06,73.87,49.07
"AGER",20,52.27,39.29,37.79,43.84,20,35.9,39.01,20,41.63,32.28,40.09,31.52,36.19,36.27,27,40.55,20,64.36,45.23,46.41,30.2,43.63,22.53,45.14,20,50.68,57.59,48.95,45.89,53.02,49.83,62.7,20,27.87,20,81.6,51.61,32.42,31.4,51.81,41.93,43.02,38.66,27.47,33.96,20,22.98,31.5,39.88,20,20,23.86,25.22,20,27.15,20,20,20,20,22.68,20,20,20,21.93,20,38.38,20,25.94,20.15,28.63
"AHR",74.28,141.25,117.86,147.81,134.99,60.1,85.11,66.02,80.26,83.26,54.99,108.48,45.85,59.35,77.53,92.58,67.07,221.57,170.81,41.12,73.07,96.86,287.49,233.12,94.2,50.51,90.39,119.54,95.32,84.13,121.59,79.56,92.89,20,41.8,44.94,20,70.38,50.1,63.75,56.25,53.05,30.04,87.41,55.64,60.96,45.46,36.77,45.5,77.77,40.36,48.78,36.49,20,61.4,51.58,70.89,49.22,42.74,40.97,26.62,54.6,66.48,96.1,89.65,86.57,68.42,82.4,86.85,78.66,67.47
"AICDA",20,20,20,20,20,20,26.6,20,20,20,20,20,20,20,20,20,20,81.54,20,20,33.57,22.91,166.68,104.81,20.61,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"AIRE",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.37,25.47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"AKT3",4256.19,2263.27,3793.99,4211.05,6319.28,4435.67,4182.15,4551.09,4287.47,7900.56,4840.3,3972.35,5530.72,4468.95,7129.24,3869.08,3939.79,3892.47,4114.38,6299.25,2718.33,1597.62,1382.64,2786.64,883.08,1154.52,1607.93,3393.15,4427.7,5190.01,2839.44,2294.5,4504.99,4907.62,2643.02,3094.87,2292.29,2916,2173.59,3031.65,2514.76,2580.82,1584.57,2390.36,1458,1322.01,3846.28,2539.75,2230.88,2909.21,1773.88,4267.46,2682.87,2979.01,3089.94,1895.87,5883.53,4109.61,4206.83,5761.78,5797.09,5836.65,3619.86,4003.76,3064.39,2864.79,4967.62,2758.29,4131.72,4964.48,4378.61
"ALOX12",29.97,23.36,25.82,75.57,53.07,52.34,46.54,46.52,98.93,71.36,39.45,38.91,20,81.07,75.03,20,42.11,39,59.41,55.51,33.57,34.37,38.03,40.16,30.42,20,28.76,32.8,47.23,61.18,29.25,42.6,118.43,66.24,20,56.66,20,20,30.95,43.77,20,65.03,45.46,20,20,20,77.29,52.86,20,20,67.27,139.99,37.19,50.45,20,74.21,20,20,20,20,20,35.26,20,20,20,33.06,53.4,20,29.33,20,46
"ALOX15",83.4,120.11,144.8,128.92,91.15,75.61,111.7,259.59,156.79,86.23,37.06,94.33,167.64,104.23,51.27,74.58,77.98,76.22,113.88,51.4,52.33,76.03,62.64,47.99,45.14,20,49.31,76.54,174.33,185.08,65.82,51.44,164.87,102.13,51.55,48.85,20,20,41.26,153.2,72.53,69.31,77.12,82.37,40.15,60.09,281.88,185.02,126.01,73.78,96.09,214.22,337.55,170.27,187.82,129.41,1474.82,247.15,471.36,544.28,528.44,214.99,115.33,207.75,79.98,72.41,165.2,121.63,157.91,51.8,104.28
